"FFQ0115.Code.or.Value","FFQ0115.Value.Description","FFQ0115.Count","FFQ0115.Cumulative","FFQ0115.Skip.to.Item"
1,"never",370,370,NA
2,"1-6 times per year",663,1033,NA
3,"7-11 times per year",624,1657,NA
4,"1 time per month",753,2410,NA
5,"2-3 times per month",1301,3711,NA
6,"1 time per week",685,4396,NA
7,"2 times per week",681,5077,NA
8,"3-4 times per week",470,5547,NA
9,"5-6 times per week",176,5723,NA
10,"1 time per day",155,5878,NA
11,"2 or more times per day",65,5943,NA
88,"Blank",58,6001,NA
99,"Error",12,6013,NA
