"FFQ0135.Code.or.Value","FFQ0135.Value.Description","FFQ0135.Count","FFQ0135.Cumulative","FFQ0135.Skip.to.Item"
1,"never",1911,1911,"FFQ0136"
2,"1-6 times per year",777,2688,""
3,"7-11 times per year",472,3160,""
4,"1 time per month",416,3576,""
5,"2-3 times per month",757,4333,""
6,"1 time per week",408,4741,""
7,"2 times per week",540,5281,""
8,"3-4 times per week",527,5808,""
9,"5-6 times per week",231,6039,""
10,"1 time per day",156,6195,""
11,"2 or more times per day",58,6253,""
88,"Blank",193,6446,""
99,"Error",26,6472,""
