"DR2FS.Code.or.Value","DR2FS.Value.Description","DR2FS.Count","DR2FS.Cumulative","DR2FS.Skip.to.Item"
"1","Store - grocery/supermarket",68968,68968,NA
"2","Restaurant with waiter/waitress",4422,73390,NA
"3","Restaurant fast food/pizza",6226,79616,NA
"4","Bar/tavern/lounge",84,79700,NA
"5","Restaurant no additional information",2,79702,NA
"6","Cafeteria NOT in a K-12 school",677,80379,NA
"7","Cafeteria in a K-12 school",3357,83736,NA
"8","Child/Adult care center",397,84133,NA
"9","Child/Adult home care",33,84166,NA
"10","Soup kitchen/shelter/food pantry",39,84205,NA
"11","Meals on Wheels",39,84244,NA
"12","Community food program - other",213,84457,NA
"13","Community program no additional information",0,84457,NA
"14","Vending machine",204,84661,NA
"15","Common coffee pot or snack tray",346,85007,NA
"16","From someone else/gift",3082,88089,NA
"17","Mail order purchase",219,88308,NA
"18","Residential dining facility",71,88379,NA
"19","Grown or caught by you or someone you know",535,88914,NA
"20","Fish caught by you or someone you know",18,88932,NA
"24","Sport, recreation, or entertainment facility",300,89232,NA
"25","Street vendor, vending truck",181,89413,NA
"26","Fundraiser sales",50,89463,NA
"27","Store - convenience type",2599,92062,NA
"28","Store - no additional info",75,92137,NA
"91","Other, specify",0,92137,NA
"99","Don't know",72,92209,NA
".","Missing",8471,100680,NA
