"OCD391.Code.or.Value","OCD391.Value.Description","OCD391.Count","OCD391.Cumulative","OCD391.Skip.to.Item"
"1","Agriculture, Forestry, Fishing",96,96,NA
"2","Mining",21,117,NA
"3","Utilities",23,140,NA
"4","Construction",259,399,NA
"5","Manufacturing: Durable Goods",281,680,NA
"6","Manufacturing: Non-Durable Goods",237,917,NA
"7","Wholesale Trade",73,990,NA
"8","Retail Trade",341,1331,NA
"9","Transportation, Warehousing",174,1505,NA
"10","Information Services",74,1579,NA
"11","Finance, Insurance",107,1686,NA
"12","Real Estate, Rental, Leasing",45,1731,NA
"13","Professional, Scientific, Technical Services",115,1846,NA
"14","Management, Administrative, Waste Services",119,1965,NA
"15","Educational Services",234,2199,NA
"16","Health Care, Social Assistance",391,2590,NA
"17","Arts, Entertainment, Recreation",72,2662,NA
"18","Accommodation, Food Services",353,3015,NA
"19","Other Services",142,3157,NA
"20","Private Household",49,3206,NA
"21","Public Administration",174,3380,NA
"22","Armed Forces",53,3433,NA
".","Missing",2742,6175,NA
