"OHX20CSC.Code.or.Value","OHX20CSC.Value.Description","OHX20CSC.Count","OHX20CSC.Cumulative","OHX20CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #20","Value was recorded",1109,1109,NA
"0","Lingual surface caries",3,1112,NA
"1","Occlusal/incisal caries",75,1187,NA
"2","Facial surface caries",21,1208,NA
"3","Mesial caries",7,1215,NA
"4","Distal caries",7,1222,NA
"5","Lingual surface restoration",0,1222,NA
"6","Occlusal/incisal restoration",552,1774,NA
"7","Facial surface restoration",21,1795,NA
"8","Mesial restoration",2,1797,NA
"9","Distal restoration",0,1797,NA
"< blank >","Missing",7159,8956,NA
