"DR1MNRSP.Code.or.Value","DR1MNRSP.Value.Description","DR1MNRSP.Count","DR1MNRSP.Cumulative","DR1MNRSP.Skip.to.Item"
"1","SP",6918,6918,NA
"2","Mother of SP",1963,8881,NA
"3","Father of SP",170,9051,NA
"4","Wife of SP",19,9070,NA
"5","Husband of SP",3,9073,NA
"6","Daughter of SP",33,9106,NA
"7","Son of SP",10,9116,NA
"8","Grandparent of SP",66,9182,NA
"9","Friend, Partner, Non Relative",4,9186,NA
"10","Translator, not a HH member",20,9206,NA
"11","Child care provider, Caretaker",14,9220,NA
"12","Other Relative",27,9247,NA
"14","Other specify",0,9247,NA
"77","Refused",0,9247,NA
"99","Don't know",0,9247,NA
".","Missing",515,9762,NA
