"FFQ0006.Code.or.Value","FFQ0006.Value.Description","FFQ0006.Count","FFQ0006.Cumulative","FFQ0006.Skip.to.Item"
1,"never",1118,1118,"FFQ0007"
2,"1 time per month or less",1071,2189,""
3,"2-3 times per month",1127,3316,""
4,"1-2 times per week",831,4147,""
5,"3-4 times per week",670,4817,""
6,"5-6 times per week",422,5239,""
7,"1 time per day",323,5562,""
8,"2-3 times per day",510,6072,""
9,"4-5 times per day",166,6238,""
10,"6 or more times per day",94,6332,""
88,"Blank",89,6421,""
99,"Error",51,6472,""
