"FFQ0105.Code.or.Value","FFQ0105.Value.Description","FFQ0105.Count","FFQ0105.Cumulative","FFQ0105.Skip.to.Item"
1,"never",2255,2255,NA
2,"1-6 times per year",1529,3784,NA
3,"7-11 times per year",698,4482,NA
4,"1 time per month",546,5028,NA
5,"2-3 times per month",575,5603,NA
6,"1 time per week",301,5904,NA
7,"2 times per week",208,6112,NA
8,"3-4 times per week",113,6225,NA
9,"5-6 times per week",60,6285,NA
10,"1 time per day",36,6321,NA
11,"2 or more times per day",12,6333,NA
88,"Blank",123,6456,NA
99,"Error",16,6472,NA
