"DR2_030Z.Code.or.Value","DR2_030Z.Value.Description","DR2_030Z.Count","DR2_030Z.Cumulative","DR2_030Z.Skip.to.Item"
"1","Breakfast",22789,22789,NA
"2","Lunch",28170,50959,NA
"3","Dinner",28005,78964,NA
"4","Supper",5432,84396,NA
"5","Brunch",545,84941,NA
"6","Snack",20206,105147,NA
"7","Drink",8253,113400,NA
"8","Infant feeding",2697,116097,NA
"9","Extended consumption",1255,117352,NA
"10","Desayano",2786,120138,NA
"11","Almuerzo",2080,122218,NA
"12","Comida",3117,125335,NA
"13","Merienda",996,126331,NA
"14","Cena",2965,129296,NA
"15","Entre comida",509,129805,NA
"16","Botana",900,130705,NA
"17","Bocadillo",336,131041,NA
"18","Tentempie",21,131062,NA
"19","Bebida",1069,132131,NA
"91","Other",20,132151,NA
"99","Don't know",0,132151,NA
".","Missing",0,132151,NA
