"OHX30CTC.Code.or.Value","OHX30CTC.Value.Description","OHX30CTC.Count","OHX30CTC.Cumulative","OHX30CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1061,1061,NA
"F","Permanent tooth with a restored surface condition",2312,3373,NA
"J","Permanent root tip is present but no restorative replacement is present",96,3469,NA
"K","Primary tooth with a dental carious surface condition",0,3469,NA
"M","Missing due to other causes",15,3484,NA
"P","Missing due to dental disease but replaced by a removable restoration",589,4073,NA
"Q","Missing due to other causes but replaced by a removable restoration",21,4094,NA
"R","Missing due to dental disease but replaced by a fixed restoration",137,4231,NA
"S","Sound permanent tooth",2789,7020,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7020,NA
"U","Unerupted",920,7940,NA
"X","Missing due to other causes but replaced by a fixed restoration",2,7942,NA
"Y","Tooth present, condition cannot be assessed",3,7945,NA
"Z","Permanent tooth with a dental carious surface condition",155,8100,NA
"< blank >","Missing",266,8366,NA
