"OHX28CSC.Code.or.Value","OHX28CSC.Value.Description","OHX28CSC.Count","OHX28CSC.Cumulative","OHX28CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",608,608,NA
"0","Lingual surface caries",1,609,NA
"1","Occlusal/incisal caries",36,645,NA
"2","Facial surface caries",27,672,NA
"3","Mesial caries",3,675,NA
"4","Distal caries",22,697,NA
"5","Lingual surface restoration",1,698,NA
"6","Occlusal/incisal restoration",224,922,NA
"7","Facial surface restoration",55,977,NA
"8","Mesial restoration",0,977,NA
"9","Distal restoration",3,980,NA
"< blank >","Missing",7607,8587,NA
