"DR1_030Z.Code.or.Value","DR1_030Z.Value.Description","DR1_030Z.Count","DR1_030Z.Cumulative","DR1_030Z.Skip.to.Item"
"1","Breakfast",21963,21963,NA
"2","Lunch",23171,45134,NA
"3","Dinner",24010,69144,NA
"4","Supper",5852,74996,NA
"5","Brunch",1106,76102,NA
"6","Snack",19500,95602,NA
"7","Drink",6165,101767,NA
"8","Infant feeding",3276,105043,NA
"9","Extended consumption",3392,108435,NA
"10","Desayano",2517,110952,NA
"11","Almuerzo",2224,113176,NA
"12","Comida",2258,115434,NA
"13","Merienda",1302,116736,NA
"14","Cena",2796,119532,NA
"15","Entre comida",431,119963,NA
"16","Botana",417,120380,NA
"17","Bocadillo",416,120796,NA
"18","Tentempie",56,120852,NA
"19","Bebida",629,121481,NA
"91","Other",0,121481,NA
"99","Don't know",0,121481,NA
".","Missing",0,121481,NA
