"MCQ230A.Code.or.Value","MCQ230A.Value.Description","MCQ230A.Count","MCQ230A.Cumulative","MCQ230A.Skip.to.Item"
"10","Bladder",11,11,NA
"11","Blood",1,12,NA
"12","Bone",9,21,NA
"13","Brain",3,24,NA
"14","Breast",70,94,NA
"15","Cervix (cervical)",32,126,NA
"16","Colon",35,161,NA
"17","Esophagus (esophageal)",1,162,NA
"18","Gallbladder",0,162,NA
"19","Kidney",11,173,NA
"20","Larynx/ windpipe",5,178,NA
"21","Leukemia",1,179,NA
"22","Liver",3,182,NA
"23","Lung",18,200,NA
"24","Lymphoma/Hodgkin's disease",9,209,NA
"25","Melanoma",19,228,NA
"26","Mouth/tongue/lip",2,230,NA
"27","Nervous system",0,230,NA
"28","Ovary (ovarian)",8,238,NA
"29","Pancreas (pancreatic)",0,238,NA
"30","Prostate",77,315,NA
"31","Rectum (rectal)",6,321,NA
"32","Skin (non-melanoma)",89,410,NA
"33","Skin (don't know what kind)",44,454,NA
"34","Soft tissue (muscle or fat)",2,456,NA
"35","Stomach",4,460,NA
"36","Testis (testicular)",4,464,NA
"37","Thyroid",7,471,NA
"38","Uterus (uterine)",24,495,NA
"39","Other",24,519,NA
"66","More than 3 kinds",0,519,NA
"77","Refused",0,519,NA
"99","Don't know",1,520,NA
".","Missing",9950,10470,NA
