"INDHHIN2.Code.or.Value","INDHHIN2.Value.Description","INDHHIN2.Count","INDHHIN2.Cumulative","INDHHIN2.Skip.to.Item"
"1","$ 0 to $ 4,999",273,273,NA
"2","$ 5,000 to $ 9,999",407,680,NA
"3","$10,000 to $14,999",639,1319,NA
"4","$15,000 to $19,999",658,1977,NA
"5","$20,000 to $24,999",880,2857,NA
"6","$25,000 to $34,999",1185,4042,NA
"7","$35,000 to $44,999",913,4955,NA
"8","$45,000 to $54,999",764,5719,NA
"9","$55,000 to $64,999",521,6240,NA
"10","$65,000 to $74,999",378,6618,NA
"12","$20,000 and Over",323,6941,NA
"13","Under $20,000",133,7074,NA
"14","$75,000 to $99,999",860,7934,NA
"15","$100,000 and Over",1781,9715,NA
"77","Refused",252,9967,NA
"99","Don't know",75,10042,NA
".","Missing",133,10175,NA
