"OHX29CSC.Code.or.Value","OHX29CSC.Value.Description","OHX29CSC.Count","OHX29CSC.Cumulative","OHX29CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #29","Value was recorded",1353,1353,NA
"0","Lingual surface caries",1,1354,NA
"1","Occlusal/incisal caries",108,1462,NA
"2","Facial surface caries",16,1478,NA
"3","Mesial caries",8,1486,NA
"4","Distal caries",7,1493,NA
"5","Lingual surface restoration",1,1494,NA
"6","Occlusal/incisal restoration",539,2033,NA
"7","Facial surface restoration",20,2053,NA
"8","Mesial restoration",0,2053,NA
"9","Distal restoration",0,2053,NA
"< blank >","Missing",7369,9422,NA
