"OHX20CTC.Code.or.Value","OHX20CTC.Value.Description","OHX20CTC.Count","OHX20CTC.Cumulative","OHX20CTC.Skip.to.Item"
"D","Sound primary tooth",1393,1393,NA
"E","Missing due to dental disease",382,1775,NA
"J","Permanent root tip is present but no restorative replacement is present",90,1865,NA
"K","Primary tooth with surface condition (s)",483,2348,NA
"M","Missing due to other causes",8,2356,NA
"P","Missing due to dental disease but replaced by a removable restoration",489,2845,NA
"Q","Missing due to other causes but replaced by a removable restoration",21,2866,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",63,2929,NA
"S","Sound permanent tooth",4143,7072,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7073,NA
"U","Unerupted",307,7380,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,7381,NA
"Y","Tooth present, condition cannot be assessed",35,7416,NA
"Z","Permanent tooth with surface condition (s)",1549,8965,NA
"< blank >","Missing",457,9422,NA
