"OHX10CSC.Code.or.Value","OHX10CSC.Value.Description","OHX10CSC.Count","OHX10CSC.Cumulative","OHX10CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #10","Value was recorded",486,486,NA
"0","Lingual surface caries",19,505,NA
"2","Facial surface caries",23,528,NA
"3","Mesial caries",33,561,NA
"4","Distal caries",17,578,NA
"5","Lingual surface restoration",106,684,NA
"7","Facial surface restoration",18,702,NA
"8","Mesial restoration",16,718,NA
"9","Distal restoration",6,724,NA
"< blank >","Missing",8232,8956,NA
