"MCQ230A.Code.or.Value","MCQ230A.Value.Description","MCQ230A.Count","MCQ230A.Cumulative","MCQ230A.Skip.to.Item"
"10","Bladder",11,11,""
"11","Blood",0,11,""
"12","Bone",2,13,""
"13","Brain",4,17,""
"14","Breast",92,109,""
"15","Cervix (cervical)",48,157,""
"16","Colon",49,206,""
"17","Esophagus (esophageal)",2,208,""
"18","Gallbladder",0,208,""
"19","Kidney",10,218,""
"20","Larynx/ windpipe",4,222,""
"21","Leukemia",8,230,""
"22","Liver",3,233,""
"23","Lung",5,238,""
"24","Lymphoma/Hodgkin's disease",15,253,""
"25","Melanoma",24,277,""
"26","Mouth/tongue/lip",1,278,""
"27","Nervous system",0,278,""
"28","Ovary (ovarian)",12,290,""
"29","Pancreas (pancreatic)",1,291,""
"30","Prostate",88,379,""
"31","Rectum (rectal)",0,379,""
"32","Skin (non-melanoma)",114,493,""
"33","Skin (don't know what kind)",47,540,""
"34","Soft tissue (muscle or fat)",0,540,""
"35","Stomach",2,542,""
"36","Testis (testicular)",3,545,""
"37","Thyroid",12,557,""
"38","Uterus (uterine)",27,584,""
"39","Other",31,615,""
"66","More than 3 kinds",0,615,""
"77","Refused",0,615,""
"99","Don't know",3,618,"MCQ240DK"
".","Missing",9491,10109,""
