"OHX30CTC.Code.or.Value","OHX30CTC.Value.Description","OHX30CTC.Count","OHX30CTC.Cumulative","OHX30CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1038,1038,NA
"F","Permanent tooth with a restored surface condition",2489,3527,NA
"J","Permanent root tip is present but no restorative replacement is present",82,3609,NA
"K","Primary tooth with a dental carious surface condition",0,3609,NA
"M","Missing due to other causes",6,3615,NA
"P","Missing due to dental disease but replaced by a removable restoration",550,4165,NA
"Q","Missing due to other causes but replaced by a removable restoration",16,4181,NA
"R","Missing due to dental disease but replaced by a fixed restoration",135,4316,NA
"S","Sound permanent tooth",3114,7430,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7430,NA
"U","Unerupted",1160,8590,NA
"X","Missing due to other causes but replaced by a fixed restoration",2,8592,NA
"Y","Tooth present, condition cannot be assessed",10,8602,NA
"Z","Permanent tooth with a dental carious surface condition",256,8858,NA
"< blank >","Missing",307,9165,NA
