"OHD28CSC.Code.or.Value","OHD28CSC.Value.Description","OHD28CSC.Count","OHD28CSC.Cumulative","OHD28CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",806,806,NA
"0","Lingual surface caries",0,806,NA
"1","Occlusal/incisal caries",32,838,NA
"2","Facial surface caries",19,857,NA
"3","Mesial caries",4,861,NA
"4","Distal caries",25,886,NA
"5","Lingual surface restoration",0,886,NA
"6","Occlusal/incisal restoration",255,1141,NA
"7","Facial surface restoration",47,1188,NA
"8","Mesial restoration",2,1190,NA
"9","Distal restoration",2,1192,NA
"< blank >","Missing",8406,9598,NA
