"OHX19CSC.Code.or.Value","OHX19CSC.Value.Description","OHX19CSC.Count","OHX19CSC.Cumulative","OHX19CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #19","Value was recorded",1076,1076,NA
"0","Lingual AMALGAM restoration",0,1076,NA
"1","Occlusal AMALGAM restoration",303,1379,NA
"2","Facial AMALGAM restoration",100,1479,NA
"3","Mesial AMALGAM restoration",0,1479,NA
"4","Distal AMALGAM restoration",0,1479,NA
"5","Lingual OTHER restoration",0,1479,NA
"6","Occlusal OTHER restoration",434,1913,NA
"7","Facial OTHER restoration",30,1943,NA
"8","Mesial OTHER restoration",0,1943,NA
"9","Distal OTHER restoration",1,1944,NA
"-1","Crown (non-specific full-coverage restoration)",595,2539,NA
"-4","Lingual caries",2,2541,NA
"-5","Occlusal caries",88,2629,NA
"-6","Facial caries",27,2656,NA
"-7","Mesial caries",5,2661,NA
"-8","Distal caries",9,2670,NA
"< blank >","Missing",6495,9165,NA
