"FFQ0131.Code.or.Value","FFQ0131.Value.Description","FFQ0131.Count","FFQ0131.Cumulative","FFQ0131.Skip.to.Item"
1,"never",2768,2768,NA
2,"1-6 times per year",900,3668,NA
3,"7-11 times per year",417,4085,NA
4,"1 time per month",322,4407,NA
5,"2-3 times per month",548,4955,NA
6,"1 time per week",326,5281,NA
7,"2 times per week",301,5582,NA
8,"3-4 times per week",287,5869,NA
9,"5-6 times per week",142,6011,NA
10,"1 time per day",180,6191,NA
11,"2 or more times per day",66,6257,NA
88,"Blank",198,6455,NA
99,"Error",17,6472,NA
