"OHX09CTC.Code.or.Value","OHX09CTC.Value.Description","OHX09CTC.Count","OHX09CTC.Cumulative","OHX09CTC.Skip.to.Item"
"D","Sound primary tooth",714,714,NA
"E","Missing due to dental disease",111,825,NA
"K","Primary tooth with surface condition (s)",83,908,NA
"M","Missing due to other causes",10,918,NA
"R","Missing due to dental disease but replaced",795,1713,NA
"S","Sound permanent tooth",5391,7104,NA
"U","Unerupted",56,7160,NA
"X","Missing due to other causes but replaced",61,7221,NA
"Y","Tooth present, condition cannot be assessed",153,7374,NA
"Z","Permanent tooth with surface condition (s)",667,8041,NA
"< blank >","Missing",546,8587,NA
