"OHX09CTC.Code.or.Value","OHX09CTC.Value.Description","OHX09CTC.Count","OHX09CTC.Cumulative","OHX09CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",37,37,NA
"D","Sound primary tooth",1183,1220,NA
"E","Missing due to dental disease",119,1339,NA
"F","Permanent tooth with a restored surface condition",647,1986,NA
"J","Permanent root tip is present but no restorative replacement is present",40,2026,NA
"K","Primary tooth with a dental carious surface condition",42,2068,NA
"M","Missing due to other causes",15,2083,NA
"P","Missing due to dental disease but replaced by a removable restoration",616,2699,NA
"Q","Missing due to other causes but replaced by a removable restoration",65,2764,NA
"R","Missing due to dental disease but replaced by a fixed restoration",72,2836,NA
"S","Sound permanent tooth",5452,8288,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8289,NA
"U","Unerupted",63,8352,NA
"X","Missing due to other causes but replaced by a fixed restoration",22,8374,NA
"Y","Tooth present, condition cannot be assessed",246,8620,NA
"Z","Permanent tooth with a dental carious surface condition",238,8858,NA
"< blank >","Missing",307,9165,NA
