"FFQ0082.Code.or.Value","FFQ0082.Value.Description","FFQ0082.Count","FFQ0082.Cumulative","FFQ0082.Skip.to.Item"
1,"never",1961,1961,NA
2,"1-6 times per year",2028,3989,NA
3,"7-11 times per year",682,4671,NA
4,"1 time per month",540,5211,NA
5,"2-3 times per month",592,5803,NA
6,"1 time per week",219,6022,NA
7,"2 times per week",158,6180,NA
8,"3-4 times per week",111,6291,NA
9,"5-6 times per week",34,6325,NA
10,"1 time per day",17,6342,NA
11,"2 or more times per day",17,6359,NA
88,"Blank",87,6446,NA
99,"Error",26,6472,NA
