"OHX30CSC.Code.or.Value","OHX30CSC.Value.Description","OHX30CSC.Count","OHX30CSC.Cumulative","OHX30CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1720,1720,NA
"0","Lingual surface caries",1,1721,NA
"1","Occlusal/incisal caries",108,1829,NA
"2","Facial surface caries",66,1895,NA
"3","Mesial caries",3,1898,NA
"4","Distal caries",0,1898,NA
"5","Lingual surface restoration",0,1898,NA
"6","Occlusal/incisal restoration",599,2497,NA
"7","Facial surface restoration",164,2661,NA
"8","Mesial restoration",3,2664,NA
"9","Distal restoration",1,2665,NA
"< blank >","Missing",5922,8587,NA
