"OHD22CTC.Code.or.Value","OHD22CTC.Value.Description","OHD22CTC.Count","OHD22CTC.Cumulative","OHD22CTC.Skip.to.Item"
"D","Sound primary tooth",1624,1624,NA
"E","Missing due to dental disease",60,1684,NA
"K","Primary tooth with surface condition (s)",16,1700,NA
"M","Missing due to other causes",8,1708,NA
"R","Missing due to dental disease but replaced",441,2149,NA
"S","Sound permanent tooth",6470,8619,NA
"U","Unerupted",48,8667,NA
"X","Missing due to other causes but replaced",13,8680,NA
"Y","Tooth present, condition cannot be assessed",49,8729,NA
"Z","Permanent tooth with surface condition (s)",242,8971,NA
"< blank >","Missing",627,9598,NA
