"OHX18CTC.Code.or.Value","OHX18CTC.Value.Description","OHX18CTC.Count","OHX18CTC.Cumulative","OHX18CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1066,1066,NA
"J","Permanent root tip is present but no restorative replacement is present",96,1162,NA
"K","Primary tooth with surface condition (s)",0,1162,NA
"M","Missing due to other causes",2,1164,NA
"P","Missing due to dental disease but replaced by a removable restoration",541,1705,NA
"Q","Missing due to other causes but replaced by a removable restoration",23,1728,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",29,1757,NA
"S","Sound permanent tooth",2243,4000,NA
"T","Permanent root tip is present but a restorative replacement is present",0,4000,NA
"U","Unerupted",2267,6267,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,6268,NA
"Y","Tooth present, condition cannot be assessed",55,6323,NA
"Z","Permanent tooth with surface condition (s)",2642,8965,NA
"< blank >","Missing",457,9422,NA
