"OHX19CTC.Code.or.Value","OHX19CTC.Value.Description","OHX19CTC.Count","OHX19CTC.Cumulative","OHX19CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1091,1091,NA
"F","Permanent tooth with a restored surface condition",2443,3534,NA
"J","Permanent root tip is present but no restorative replacement is present",70,3604,NA
"K","Primary tooth with a dental carious surface condition",0,3604,NA
"M","Missing due to other causes",8,3612,NA
"P","Missing due to dental disease but replaced by a removable restoration",561,4173,NA
"Q","Missing due to other causes but replaced by a removable restoration",16,4189,NA
"R","Missing due to dental disease but replaced by a fixed restoration",132,4321,NA
"S","Sound permanent tooth",3145,7466,NA
"T","Permanent root tip is present but a restorative replacement is present",3,7469,NA
"U","Unerupted",1147,8616,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,8617,NA
"Y","Tooth present, condition cannot be assessed",14,8631,NA
"Z","Permanent tooth with a dental carious surface condition",227,8858,NA
"< blank >","Missing",307,9165,NA
