"OHX15CTC.Code.or.Value","OHX15CTC.Value.Description","OHX15CTC.Count","OHX15CTC.Cumulative","OHX15CTC.Skip.to.Item"
"E","Missing due to dental disease",703,703,NA
"J","Permanent root tip is present but no restorative replacement is present",41,744,NA
"M","Missing due to other causes",2,746,NA
"P","Missing due to dental disease but replaced by a removable restoration",770,1516,NA
"Q","Missing due to other causes but replaced by a removable restoration",3,1519,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",6,1525,NA
"S","Sound permanent tooth",2933,4458,NA
"T","Permanent root tip is present but a restorative replacement is present",0,4458,NA
"U","Unerupted",1806,6264,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,6265,NA
"Y","Tooth present, condition cannot be assessed",0,6265,NA
"Z","Permanent tooth with surface condition (s)",1980,8245,NA
"< blank >","Missing",602,8847,NA
