"FFQ0042B.Code.or.Value","FFQ0042B.Value.Description","FFQ0042B.Count","FFQ0042B.Cumulative","FFQ0042B.Skip.to.Item"
1,"never",244,244,NA
2,"1-6 times per year",541,785,NA
3,"7-11 times per year",445,1230,NA
4,"1 time per month",326,1556,NA
5,"2-3 times per month",819,2375,NA
6,"1 time per week",544,2919,NA
7,"2 times per week",744,3663,NA
8,"3-4 times per week",690,4353,NA
9,"5-6 times per week",282,4635,NA
10,"1 time per day",211,4846,NA
11,"2 or more times per day",106,4952,NA
88,"Blank",1488,6440,NA
99,"Error",32,6472,NA
