"FFQ0032.Code.or.Value","FFQ0032.Value.Description","FFQ0032.Count","FFQ0032.Cumulative","FFQ0032.Skip.to.Item"
1,"never",809,809,NA
2,"1-6 times per year",921,1730,NA
3,"7-11 times per year",618,2348,NA
4,"1 time per month",561,2909,NA
5,"2-3 times per month",1107,4016,NA
6,"1 time per week",594,4610,NA
7,"2 times per week",606,5216,NA
8,"3-4 times per week",425,5641,NA
9,"5-6 times per week",132,5773,NA
10,"1 time per day",94,5867,NA
11,"2 or more times per day",31,5898,NA
88,"Blank",101,5999,NA
99,"Error",14,6013,NA
