"OHX11CSC.Code.or.Value","OHX11CSC.Value.Description","OHX11CSC.Count","OHX11CSC.Cumulative","OHX11CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #11","Value was recorded",150,150,NA
"0","Lingual AMALGAM restoration",11,161,NA
"1","Occlusal AMALGAM restoration",0,161,NA
"2","Facial AMALGAM restoration",2,163,NA
"3","Mesial AMALGAM restoration",1,164,NA
"4","Distal AMALGAM restoration",17,181,NA
"5","Lingual OTHER restoration",11,192,NA
"6","Occlusal OTHER restoration",0,192,NA
"7","Facial OTHER restoration",24,216,NA
"8","Mesial OTHER restoration",58,274,NA
"9","Distal OTHER restoration",63,337,NA
"-1","Crown (non-specific full-coverage restoration)",168,505,NA
"-4","Lingual caries",7,512,NA
"-5","Occlusal caries",0,512,NA
"-6","Facial caries",29,541,NA
"-7","Mesial caries",22,563,NA
"-8","Distal caries",31,594,NA
"< blank >","Missing",8571,9165,NA
