"FFQ0099.Code.or.Value","FFQ0099.Value.Description","FFQ0099.Count","FFQ0099.Cumulative","FFQ0099.Skip.to.Item"
1,"never",527,527,NA
2,"1-6 times per year",892,1419,NA
3,"7-11 times per year",697,2116,NA
4,"1 time per month",674,2790,NA
5,"2-3 times per month",1114,3904,NA
6,"1 time per week",662,4566,NA
7,"2 times per week",609,5175,NA
8,"3-4 times per week",438,5613,NA
9,"5-6 times per week",152,5765,NA
10,"1 time per day",127,5892,NA
11,"2 or more times per day",44,5936,NA
88,"Blank",67,6003,NA
99,"Error",10,6013,NA
