"PFQ063E.Code.or.Value","PFQ063E.Value.Description","PFQ063E.Count","PFQ063E.Cumulative","PFQ063E.Skip.to.Item"
"10","Arthritis/rheumatism",9,9,NA
"11","Back or neck problem",13,22,NA
"12","Birth defect",2,24,NA
"13","Cancer",3,27,NA
"14","Depression/anxiety/emotional problem",11,38,NA
"15","Other developmental problem (such as cerebral palsy)",1,39,NA
"16","Diabetes",11,50,NA
"17","Fractures, bone/joint injury",23,73,NA
"18","Hearing problem",18,91,NA
"19","Heart problem",27,118,NA
"20","Hypertension/high blood pressure",69,187,NA
"21","Lung/breathing problem",45,232,NA
"22","Mental retardation",4,236,NA
"23","Other injury",9,245,NA
"24","Senility",7,252,NA
"25","Stroke problem",17,269,NA
"26","Vision/problem seeing",75,344,NA
"27","Weight problem",67,411,NA
"28","Other impairment/problem",32,443,NA
"77","Refused",0,443,NA
"99","Don't know",0,443,NA
".","Missing",8548,8991,NA
