"OHX22CSC.Code.or.Value","OHX22CSC.Value.Description","OHX22CSC.Count","OHX22CSC.Cumulative","OHX22CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #22","Value was recorded",116,116,NA
"0","Lingual surface caries",1,117,NA
"2","Facial surface caries",41,158,NA
"3","Mesial caries",9,167,NA
"4","Distal caries",8,175,NA
"5","Lingual surface restoration",11,186,NA
"7","Facial surface restoration",50,236,NA
"8","Mesial restoration",3,239,NA
"9","Distal restoration",8,247,NA
"< blank >","Missing",8709,8956,NA
