"OHX23CTC.Code.or.Value","OHX23CTC.Value.Description","OHX23CTC.Count","OHX23CTC.Cumulative","OHX23CTC.Skip.to.Item"
"D","Sound primary tooth",834,834,NA
"E","Missing due to dental disease",113,947,NA
"K","Primary tooth with surface condition (s)",3,950,NA
"M","Missing due to other causes",4,954,NA
"R","Missing due to dental disease but replaced",522,1476,NA
"S","Sound permanent tooth",6369,7845,NA
"U","Unerupted",37,7882,NA
"X","Missing due to other causes but replaced",15,7897,NA
"Y","Tooth present, condition cannot be assessed",27,7924,NA
"Z","Permanent tooth with surface condition (s)",118,8042,NA
"< blank >","Missing",545,8587,NA
