"PFQ063E.Code.or.Value","PFQ063E.Value.Description","PFQ063E.Count","PFQ063E.Cumulative","PFQ063E.Skip.to.Item"
"10","Arthritis/rheumatism",5,5,NA
"11","Back or neck problem",4,9,NA
"12","Birth defect",1,10,NA
"13","Cancer",2,12,NA
"14","Depression/anxiety/emotional problem",0,12,NA
"15","Other developmental problem (such as cerebral palsy)",0,12,NA
"16","Diabetes",3,15,NA
"17","Fractures, bone/joint injury",12,27,NA
"18","Hearing problem",9,36,NA
"19","Heart problem",13,49,NA
"20","Hypertension/high blood pressure",51,100,NA
"21","Lung/breathing problem",37,137,NA
"22","Mental retardation",3,140,NA
"23","Other injury",2,142,NA
"24","Senility",1,143,NA
"25","Stroke problem",9,152,NA
"26","Vision/problem seeing",33,185,NA
"27","Weight problem",37,222,NA
"28","Other impairment/problem",29,251,NA
"77","Refused",0,251,NA
"99","Don't know",0,251,NA
".","Missing",9415,9666,NA
