"OHX14CSC.Code.or.Value","OHX14CSC.Value.Description","OHX14CSC.Count","OHX14CSC.Cumulative","OHX14CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1825,1825,NA
"0","Lingual surface caries",15,1840,NA
"1","Occlusal/incisal caries",144,1984,NA
"2","Facial surface caries",2,1986,NA
"3","Mesial caries",6,1992,NA
"4","Distal caries",0,1992,NA
"5","Lingual surface restoration",31,2023,NA
"6","Occlusal/incisal restoration",599,2622,NA
"7","Facial surface restoration",2,2624,NA
"8","Mesial restoration",0,2624,NA
"9","Distal restoration",0,2624,NA
"< blank >","Missing",6223,8847,NA
