"OHX28CTC.Code.or.Value","OHX28CTC.Value.Description","OHX28CTC.Count","OHX28CTC.Cumulative","OHX28CTC.Skip.to.Item"
"D","Sound primary tooth",1116,1116,NA
"E","Missing due to dental disease",191,1307,NA
"K","Primary tooth with surface condition (s)",254,1561,NA
"M","Missing due to other causes",196,1757,NA
"R","Missing due to dental disease but replaced",522,2279,NA
"S","Sound permanent tooth",4990,7269,NA
"U","Unerupted",35,7304,NA
"X","Missing due to other causes but replaced",4,7308,NA
"Y","Tooth present, condition cannot be assessed",8,7316,NA
"Z","Permanent tooth with surface condition (s)",726,8042,NA
"< blank >","Missing",545,8587,NA
