"INDFMIN2.Code.or.Value","INDFMIN2.Value.Description","INDFMIN2.Count","INDFMIN2.Cumulative","INDFMIN2.Skip.to.Item"
"1","$ 0 to $ 4,999",426,426,NA
"2","$ 5,000 to $ 9,999",525,951,NA
"3","$10,000 to $14,999",802,1753,NA
"4","$15,000 to $19,999",747,2500,NA
"5","$20,000 to $24,999",794,3294,NA
"6","$25,000 to $34,999",1129,4423,NA
"7","$35,000 to $44,999",911,5334,NA
"8","$45,000 to $54,999",618,5952,NA
"9","$55,000 to $64,999",405,6357,NA
"10","$65,000 to $74,999",416,6773,NA
"12","$20,000 and Over",248,7021,NA
"13","Under $20,000",129,7150,NA
"14","$75,000 to $99,999",754,7904,NA
"15","$100,000 and Over",1389,9293,NA
"77","Refused",276,9569,NA
"99","Don't know",136,9705,NA
".","Missing",51,9756,NA
