"FFQ0102.Code.or.Value","FFQ0102.Value.Description","FFQ0102.Count","FFQ0102.Cumulative","FFQ0102.Skip.to.Item"
1,"never",606,606,"FFQ0103"
2,"1-6 times per year",729,1335,""
3,"7-11 times per year",545,1880,""
4,"1 time per month",597,2477,""
5,"2-3 times per month",1171,3648,""
6,"1 time per week",809,4457,""
7,"2 times per week",705,5162,""
8,"3-4 times per week",649,5811,""
9,"5-6 times per week",253,6064,""
10,"1 time per day",168,6232,""
11,"2 or more times per day",91,6323,""
88,"Blank",121,6444,""
99,"Error",28,6472,""
