"OHX31CTC.Code.or.Value","OHX31CTC.Value.Description","OHX31CTC.Count","OHX31CTC.Cumulative","OHX31CTC.Skip.to.Item"
"E","Missing due to dental disease",886,886,NA
"J","Permanent root tip is present but no restorative replacement is present",43,929,NA
"M","Missing due to other causes",2,931,NA
"P","Missing due to dental disease, but replaced by a removable restoration",636,1567,NA
"Q","Missing due to other causes, but replaced by a removable restoration",1,1568,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",20,1588,NA
"S","Sound permanent tooth",2624,4212,NA
"T","Permanent root tip is present but a restorative replacement is present",0,4212,NA
"U","Unerupted",1695,5907,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,5907,NA
"Y","Tooth present, condition cannot be assessed",1,5908,NA
"Z","Permanent tooth with surface condition (s)",2337,8245,NA
"< blank >","Missing",602,8847,NA
