"OHX08CSC.Code.or.Value","OHX08CSC.Value.Description","OHX08CSC.Count","OHX08CSC.Cumulative","OHX08CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #8","Value was recorded",224,224,NA
"0","Lingual AMALGAM restoration",1,225,NA
"1","Occlusal AMALGAM restoration",0,225,NA
"2","Facial AMALGAM restoration",1,226,NA
"3","Mesial AMALGAM restoration",0,226,NA
"4","Distal AMALGAM restoration",1,227,NA
"5","Lingual OTHER restoration",1,228,NA
"6","Occlusal OTHER restoration",0,228,NA
"7","Facial OTHER restoration",10,238,NA
"8","Mesial OTHER restoration",131,369,NA
"9","Distal OTHER restoration",126,495,NA
"-1","Crown (non-specific full-coverage restoration)",235,730,NA
"-4","Lingual caries",5,735,NA
"-5","Occlusal caries",0,735,NA
"-6","Facial caries",26,761,NA
"-7","Mesial caries",52,813,NA
"-8","Distal caries",47,860,NA
"< blank >","Missing",7506,8366,NA
