"OHX18CSC.Code.or.Value","OHX18CSC.Value.Description","OHX18CSC.Count","OHX18CSC.Cumulative","OHX18CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1095,1095,NA
"0","Lingual surface caries",0,1095,NA
"1","Occlusal/incisal caries",141,1236,NA
"2","Facial surface caries",65,1301,NA
"3","Mesial caries",2,1303,NA
"4","Distal caries",2,1305,NA
"5","Lingual surface restoration",1,1306,NA
"6","Occlusal/incisal restoration",772,2078,NA
"7","Facial surface restoration",50,2128,NA
"8","Mesial restoration",0,2128,NA
"9","Distal restoration",1,2129,NA
"< blank >","Missing",6458,8587,NA
