"OHX09RSC.Code.or.Value","OHX09RSC.Value.Description","OHX09RSC.Count","OHX09RSC.Cumulative","OHX09RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #9","Value was recorded",6,6,NA
"0","lingual AMALGAM restoration",0,6,NA
"1","occlusal AMALGAM restoration",0,6,NA
"2","facial AMALGAM restoration",1,7,NA
"3","mesial AMALGAM restoration",0,7,NA
"4","distal AMALGAM restoration",0,7,NA
"5","lingual OTHER restoration",1,8,NA
"6","occlusal OTHER restoration",0,8,NA
"7","facial OTHER restoration",0,8,NA
"8","mesial OTHER restoration",4,12,NA
"9","distal OTHER restoration",6,18,NA
"-1","Crown (non-specific full-coverage restoration)",0,18,NA
"< blank >","Missing",9147,9165,NA
