"OHX07CSC.Code.or.Value","OHX07CSC.Value.Description","OHX07CSC.Count","OHX07CSC.Cumulative","OHX07CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #7","Value was recorded",476,476,NA
"0","Lingual surface caries",28,504,NA
"2","Facial surface caries",36,540,NA
"3","Mesial caries",68,608,NA
"4","Distal caries",20,628,NA
"5","Lingual surface restoration",105,733,NA
"7","Facial surface restoration",20,753,NA
"8","Mesial restoration",87,840,NA
"9","Distal restoration",37,877,NA
"< blank >","Missing",8545,9422,NA
