"OCD241.Code.or.Value","OCD241.Value.Description","OCD241.Count","OCD241.Cumulative","OCD241.Skip.to.Item"
"1","Management Occupations",286,286,NA
"2","Business, Financial Operations Occupations",110,396,NA
"3","Computer, Mathematical Occupations",47,443,NA
"4","Architecture, Engineering Occupations",50,493,NA
"5","Life, Physical, Social Science Occupations",25,518,NA
"6","Community, Social Services Occupations",48,566,NA
"7","Legal Occupations",29,595,NA
"8","Education, Training, Library Occupations",168,763,NA
"9","Arts, Design, Entertainment, Sports, Media Occupations",61,824,NA
"10","Healthcare Practitioner, Technical Occupations",107,931,NA
"11","Healthcare Support Occupations",109,1040,NA
"12","Protective Service Occupations",72,1112,NA
"13","Food Preparation, Serving Occupations",277,1389,NA
"14","Building & Grounds Cleaning, Maintenance Occupations",234,1623,NA
"15","Personal Care, Service Occupations",118,1741,NA
"16","Sales & Related Occupations",354,2095,NA
"17","Office, Administrative Support Occupations",425,2520,NA
"18","Farming, Fishing, Forestry Occupations",21,2541,NA
"19","Construction, Extraction Occupations",284,2825,NA
"20","Installation, Maintenance, Repair Occupations",110,2935,NA
"21","Production Occupations",252,3187,NA
"22","Transportation, Material Moving Occupations",277,3464,NA
"23","Armed Forces",1,3465,NA
"98","Text present but uncodable",0,3465,NA
"99","Blank but applicable",6,3471,NA
".","Missing",3075,6546,NA
