"FFQ0046.Code.or.Value","FFQ0046.Value.Description","FFQ0046.Count","FFQ0046.Cumulative","FFQ0046.Skip.to.Item"
1,"never",2199,2199,NA
2,"1-6 times per year",1840,4039,NA
3,"7-11 times per year",638,4677,NA
4,"1 time per month",518,5195,NA
5,"2-3 times per month",613,5808,NA
6,"1 time per week",238,6046,NA
7,"2 times per week",139,6185,NA
8,"3-4 times per week",68,6253,NA
9,"5-6 times per week",17,6270,NA
10,"1 time per day",14,6284,NA
11,"2 or more times per day",12,6296,NA
88,"Blank",152,6448,NA
99,"Error",24,6472,NA
