"FFQ0035A.Code.or.Value","FFQ0035A.Value.Description","FFQ0035A.Count","FFQ0035A.Cumulative","FFQ0035A.Skip.to.Item"
1,"never",77,77,NA
2,"1-6 times per season",933,1010,NA
3,"7-11 times per season",671,1681,NA
4,"1 time per month",437,2118,NA
5,"2-3 times per month",1213,3331,NA
6,"1 time per week",857,4188,NA
7,"2 times per week",914,5102,NA
8,"3-4 times per week",540,5642,NA
9,"5-6 times per week",148,5790,NA
10,"1 time per day",69,5859,NA
11,"2 or more times per day",27,5886,NA
88,"Blank",545,6431,NA
99,"Error",41,6472,NA
