"PFQ063B.Code.or.Value","PFQ063B.Value.Description","PFQ063B.Count","PFQ063B.Cumulative","PFQ063B.Skip.to.Item"
"10","Arthritis/rheumatism",64,64,NA
"11","Back or neck problem",317,381,NA
"12","Birth defect",4,385,NA
"13","Cancer",3,388,NA
"14","Depression/anxiety/emotional problem",62,450,NA
"15","Other developmental problem (such as cerebral palsy)",0,450,NA
"16","Diabetes",43,493,NA
"17","Fractures, bone/joint injury",118,611,NA
"18","Hearing problem",39,650,NA
"19","Heart problem",32,682,NA
"20","Hypertension/high blood pressure",40,722,NA
"21","Lung/breathing problem",34,756,NA
"22","Mental retardation",4,760,NA
"23","Other injury",25,785,NA
"24","Senility",7,792,NA
"25","Stroke problem",15,807,NA
"26","Vision/problem seeing",33,840,NA
"27","Weight problem",50,890,NA
"28","Other impairment/problem",102,992,NA
"77","Refused",0,992,NA
"99","Don't know",0,992,NA
".","Missing",8653,9645,NA
