"OHX03CSC.Code.or.Value","OHX03CSC.Value.Description","OHX03CSC.Count","OHX03CSC.Cumulative","OHX03CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #3","Value was recorded",1173,1173,NA
"0","Lingual AMALGAM restoration",19,1192,NA
"1","Occlusal AMALGAM restoration",358,1550,NA
"2","Facial AMALGAM restoration",1,1551,NA
"3","Mesial AMALGAM restoration",3,1554,NA
"4","Distal AMALGAM restoration",0,1554,NA
"5","Lingual OTHER restoration",4,1558,NA
"6","Occlusal OTHER restoration",264,1822,NA
"7","Facial OTHER restoration",1,1823,NA
"8","Mesial OTHER restoration",2,1825,NA
"9","Distal OTHER restoration",0,1825,NA
"-1","Crown (non-specific full-coverage restoration)",514,2339,NA
"-4","Lingual caries",7,2346,NA
"-5","Occlusal caries",36,2382,NA
"-6","Facial caries",3,2385,NA
"-7","Mesial caries",16,2401,NA
"-8","Distal caries",7,2408,NA
"< blank >","Missing",5958,8366,NA
