"OHX19CTC.Code.or.Value","OHX19CTC.Value.Description","OHX19CTC.Count","OHX19CTC.Cumulative","OHX19CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1041,1041,NA
"J","Permanent root tip is present but no restorative replacement is present",123,1164,NA
"K","Primary tooth with surface condition (s)",0,1164,NA
"M","Missing due to other causes",3,1167,NA
"P","Missing due to dental disease but replaced by a removable restoration",560,1727,NA
"Q","Missing due to other causes but replaced by a removable restoration",22,1749,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",145,1894,NA
"S","Sound permanent tooth",2927,4821,NA
"T","Permanent root tip is present but a restorative replacement is present",0,4821,NA
"U","Unerupted",1142,5963,NA
"X","Missing due to other causes, but replaced by a fixed restoration",4,5967,NA
"Y","Tooth present, condition cannot be assessed",70,6037,NA
"Z","Permanent tooth with surface condition (s)",2928,8965,NA
"< blank >","Missing",457,9422,NA
