"PFQ063B.Code.or.Value","PFQ063B.Value.Description","PFQ063B.Count","PFQ063B.Cumulative","PFQ063B.Skip.to.Item"
"10","Arthritis/rheumatism",73,73,NA
"11","Back or neck problem",315,388,NA
"12","Birth defect",6,394,NA
"13","Cancer",25,419,NA
"14","Depression/anxiety/emotional problem",78,497,NA
"15","Other developmental problem (such as cerebral palsy)",5,502,NA
"16","Diabetes",103,605,NA
"17","Fractures, bone/joint injury",126,731,NA
"18","Hearing problem",38,769,NA
"19","Heart problem",59,828,NA
"20","Hypertension/high blood pressure",99,927,NA
"21","Lung/breathing problem",39,966,NA
"22","Mental retardation",4,970,NA
"23","Other injury",14,984,NA
"24","Senility",5,989,NA
"25","Stroke problem",17,1006,NA
"26","Vision/problem seeing",33,1039,NA
"27","Weight problem",41,1080,NA
"28","Other impairment/problem",111,1191,NA
"77","Refused",0,1191,NA
"99","Don't know",0,1191,NA
".","Missing",7825,9016,NA
