"OHX12CTC.Code.or.Value","OHX12CTC.Value.Description","OHX12CTC.Count","OHX12CTC.Cumulative","OHX12CTC.Skip.to.Item"
"D","Sound primary tooth",1555,1555,NA
"E","Missing due to dental disease",320,1875,NA
"J","Permanent root tip is present but no restorative replacement is present",88,1963,NA
"K","Primary tooth with surface condition (s)",285,2248,NA
"M","Missing due to other causes",283,2531,NA
"P","Missing due to dental disease but replaced by a removable restoration",639,3170,NA
"Q","Missing due to other causes but replaced by a removable restoration",1,3171,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",71,3242,NA
"S","Sound permanent tooth",3810,7052,NA
"T","Permanent root tip is present but a restorative replacement is present",3,7055,NA
"U","Unerupted",94,7149,NA
"X","Missing due to other causes, but replaced by a fixed restoration",2,7151,NA
"Y","Tooth present, condition cannot be assessed",75,7226,NA
"Z","Permanent tooth with surface condition (s)",1215,8441,NA
"< blank >","Missing",515,8956,NA
