"OHX26CSC.Code.or.Value","OHX26CSC.Value.Description","OHX26CSC.Count","OHX26CSC.Cumulative","OHX26CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",68,68,NA
"0","Lingual surface caries",1,69,NA
"2","Facial surface caries",8,77,NA
"3","Mesial caries",9,86,NA
"4","Distal caries",7,93,NA
"5","Lingual surface restoration",4,97,NA
"7","Facial surface restoration",13,110,NA
"8","Mesial restoration",9,119,NA
"9","Distal restoration",14,133,NA
"< blank >","Missing",8454,8587,NA
