"FFQ0133.Code.or.Value","FFQ0133.Value.Description","FFQ0133.Count","FFQ0133.Cumulative","FFQ0133.Skip.to.Item"
1,"never",1655,1655,"FFQ0134"
2,"1-6 times per year",790,2445,""
3,"7-11 times per year",497,2942,""
4,"1 time per month",423,3365,""
5,"2-3 times per month",776,4141,""
6,"1 time per week",517,4658,""
7,"2 times per week",546,5204,""
8,"3-4 times per week",544,5748,""
9,"5-6 times per week",203,5951,""
10,"1 time per day",263,6214,""
11,"2 or more times per day",104,6318,""
88,"Blank",134,6452,""
99,"Error",20,6472,""
