"MCQ230B.Code.or.Value","MCQ230B.Value.Description","MCQ230B.Count","MCQ230B.Cumulative","MCQ230B.Skip.to.Item"
"10","Bladder",3,3,NA
"11","Blood",1,4,NA
"12","Bone",1,5,NA
"13","Brain",0,5,NA
"14","Breast",3,8,NA
"15","Cervix (cervical)",0,8,NA
"16","Colon",2,10,NA
"17","Esophagus (esophageal)",0,10,NA
"18","Gallbladder",0,10,NA
"19","Kidney",2,12,NA
"20","Larynx/ windpipe",0,12,NA
"21","Leukemia",0,12,NA
"22","Liver",1,13,NA
"23","Lung",1,14,NA
"24","Lymphoma/Hodgkin's disease",3,17,NA
"25","Melanoma",9,26,NA
"26","Mouth/tongue/lip",1,27,NA
"27","Nervous system",0,27,NA
"28","Ovary (ovarian)",3,30,NA
"29","Pancreas (pancreatic)",0,30,NA
"30","Prostate",12,42,NA
"31","Rectum (rectal)",4,46,NA
"32","Skin (non-melanoma)",14,60,NA
"33","Skin (don't know what kind)",4,64,NA
"34","Soft tissue (muscle or fat)",0,64,NA
"35","Stomach",1,65,NA
"36","Testis (testicular)",0,65,NA
"37","Thyroid",1,66,NA
"38","Uterus (uterine)",5,71,NA
"39","Other",1,72,NA
"66","More than 3 kinds",0,72,NA
"77","Refused",0,72,NA
"99","Don't know",0,72,NA
".","Missing",10037,10109,NA
