"OHX27CSC.Code.or.Value","OHX27CSC.Value.Description","OHX27CSC.Count","OHX27CSC.Cumulative","OHX27CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #27","Value was recorded",61,61,NA
"0","Lingual AMALGAM restoration",4,65,NA
"1","Occlusal AMALGAM restoration",0,65,NA
"2","Facial AMALGAM restoration",13,78,NA
"3","Mesial AMALGAM restoration",2,80,NA
"4","Distal AMALGAM restoration",5,85,NA
"5","Lingual OTHER restoration",4,89,NA
"6","Occlusal OTHER restoration",0,89,NA
"7","Facial OTHER restoration",24,113,NA
"8","Mesial OTHER restoration",6,119,NA
"9","Distal OTHER restoration",6,125,NA
"-1","Crown (non-specific full-coverage restoration)",74,199,NA
"-4","Lingual caries",0,199,NA
"-5","Occlusal caries",0,199,NA
"-6","Facial caries",20,219,NA
"-7","Mesial caries",13,232,NA
"-8","Distal caries",10,242,NA
"< blank >","Missing",8923,9165,NA
