"DMDYRSUS.Code.or.Value","DMDYRSUS.Value.Description","DMDYRSUS.Count","DMDYRSUS.Cumulative","DMDYRSUS.Skip.to.Item"
"1","Less than 1 year",70,70,NA
"2","1 year or more, but less than 5 years",170,240,NA
"3","5 year or more, but less than 10 years",234,474,NA
"4","10 year or more, but less than 15 years",298,772,NA
"5","15 year or more, but less than 20 years",210,982,NA
"6","20 year or more, but less than 30 years",342,1324,NA
"7","30 year or more, but less than 40 years",246,1570,NA
"8","40 year or more, but less than 50 years",146,1716,NA
"9","50 years or more",106,1822,NA
"77","Refused",41,1863,NA
"99","Don't Know",45,1908,NA
".","Missing",8267,10175,NA
