"FFQ0052.Code.or.Value","FFQ0052.Value.Description","FFQ0052.Count","FFQ0052.Cumulative","FFQ0052.Skip.to.Item"
1,"never",1744,1744,NA
2,"1-6 times per year",928,2672,NA
3,"7-11 times per year",590,3262,NA
4,"1 time per month",557,3819,NA
5,"2-3 times per month",926,4745,NA
6,"1 time per week",526,5271,NA
7,"2 times per week",509,5780,NA
8,"3-4 times per week",288,6068,NA
9,"5-6 times per week",100,6168,NA
10,"1 time per day",85,6253,NA
11,"2 or more times per day",33,6286,NA
88,"Blank",165,6451,NA
99,"Error",21,6472,NA
