"GTDCODE.Code.or.Value","GTDCODE.Value.Description","GTDCODE.Count","GTDCODE.Cumulative","GTDCODE.Skip.to.Item"
"0","OGTT complete",2345,2345,NA
"20","Hemophiliac",0,2345,NA
"21","Cancer chemotherapy within 4 weeks",0,2345,NA
"22","Diabetic on medications",266,2611,NA
"23","Refused venipuncture",0,2611,NA
"24","Ill/faint during test",5,2616,NA
"25","Venipuncture unsuccessful",11,2627,NA
"26","Currently pregnant",1,2628,NA
"27","Refused glucose challenge",59,2687,NA
"28","Fasting less than 9 hours",7,2694,NA
"29","Came late/left early",38,2732,NA
"30","Other",177,2909,NA
".","Missing",0,2909,NA
