"OHX21CTC.Code.or.Value","OHX21CTC.Value.Description","OHX21CTC.Count","OHX21CTC.Cumulative","OHX21CTC.Skip.to.Item"
"D","Sound primary tooth",1117,1117,NA
"E","Missing due to dental disease",188,1305,NA
"K","Primary tooth with surface condition (s)",259,1564,NA
"M","Missing due to other causes",199,1763,NA
"R","Missing due to dental disease but replaced",518,2281,NA
"S","Sound permanent tooth",4970,7251,NA
"U","Unerupted",38,7289,NA
"X","Missing due to other causes but replaced",5,7294,NA
"Y","Tooth present, condition cannot be assessed",13,7307,NA
"Z","Permanent tooth with surface condition (s)",735,8042,NA
"< blank >","Missing",545,8587,NA
