"PFQ063D.Code.or.Value","PFQ063D.Value.Description","PFQ063D.Count","PFQ063D.Cumulative","PFQ063D.Skip.to.Item"
"10","Arthritis/rheumatism",3,3,NA
"11","Back or neck problem",4,7,NA
"12","Birth defect",0,7,NA
"13","Cancer",1,8,NA
"14","Depression/anxiety/emotional problem",9,17,NA
"15","Other developmental problem (such as cerebral palsy)",0,17,NA
"16","Diabetes",14,31,NA
"17","Fractures, bone/joint injury",20,51,NA
"18","Hearing problem",24,75,NA
"19","Heart problem",31,106,NA
"20","Hypertension/high blood pressure",61,167,NA
"21","Lung/breathing problem",23,190,NA
"22","Mental retardation",1,191,NA
"23","Other injury",11,202,NA
"24","Senility",5,207,NA
"25","Stroke problem",16,223,NA
"26","Vision/problem seeing",39,262,NA
"27","Weight problem",34,296,NA
"28","Other impairment/problem",27,323,NA
"77","Refused",0,323,NA
"99","Don't know",0,323,NA
".","Missing",9499,9822,NA
